Continent,acq_date,Collections,Total,,,,,,,,,,,,,,,,,
AM,1871,51,33063,,,,,,,,,,,,,,,,,
AM,1872,77,33063,,,,,,,,,,,,,,,,,
AM,1873,114,33063,,,,,,,,,,,,,,,,,
AM,1874,28,33063,,,,,,,,,,,,,,,,,
AM,1875,9,33063,,,,,,,,,,,,,,,,,
AM,1876,5,33063,,,,,,,,,,,,,,,,,
AM,1877,31,33063,,,,,,,,,,,,,,,,,
AM,1878,46,33063,,,,,,,,,,,,,,,,,
AM,1879,4,33063,,,,,,,,,,,,,,,,,
AM,1880,16,33063,,,,,,,,,,,,,,,,,
AM,1881,4,33063,,,,,,,,,,,,,,,,,
AM,1882,34,33063,,,,,,,,,,,,,,,,,
AM,1883,15,33063,,,,,,,,,,,,,,,,,
AM,1884,14,33063,,,,,,,,,,,,,,,,,
AM,1885,7,33063,,,,,,,,,,,,,,,,,
AM,1886,54,33063,,,,,,,,,,,,,,,,,
AM,1887,13,33063,,,,,,,,,,,,,,,,,
AM,1888,2,33063,,,,,,,,,,,,,,,,,
AM,1889,23,33063,,,,,,,,,,,,,,,,,
AM,1890,19,33063,,,,,,,,,,,,,,,,,
AM,1891,27,33063,,,,,,,,,,,,,,,,,
AM,1892,73,33063,,,,,,,,,,,,,,,,,
AM,1893,12,33063,,,,,,,,,,,,,,,,,
AM,1894,2,33063,,,,,,,,,,,,,,,,,
AM,1895,8,33063,,,,,,,,,,,,,,,,,
AM,1896,43,33063,,,,,,,,,,,,,,,,,
AM,1897,251,33063,,,,,,,,,,,,,,,,,
AM,1898,4,33063,,,,,,,,,,,,,,,,,
AM,1900,23,33063,,,,,,,,,,,,,,,,,
AM,1901,9,33063,,,,,,,,,,,,,,,,,
AM,1902,31,33063,,,,,,,,,,,,,,,,,
AM,1904,34,33063,,,,,,,,,,,,,,,,,
AM,1905,28,33063,,,,,,,,,,,,,,,,,
AM,1906,72,33063,,,,,,,,,,,,,,,,,
AM,1907,620,33063,,,,,,,,,,,,,,,,,
